l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801780.SI,银行,801783.SI,股份制银行Ⅱ,857831.SI,股份制银行Ⅲ,000001.SZ,平安银行,19910403,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000002.SZ,万科A,19910129,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000003.SZ,PT金田A(退市),19910415,,Y
801750.SI,计算机,801104.SI,软件开发,851042.SI,横向通用软件,000004.SZ,国华网安,20210730,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000006.SZ,深振业A,20150930,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,000007.SZ,全新好,20190724,,Y
801890.SI,机械设备,801076.SI,轨交设备Ⅱ,850936.SI,轨交设备Ⅲ,000008.SZ,神州高铁,20150701,,Y
801730.SI,电力设备,801737.SI,电池,857372.SI,电池化学品,000009.SZ,中国宝安,20210730,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,000010.SZ,美丽生态,20210730,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000011.SZ,深物业A,19920330,,Y
801710.SI,建筑材料,801712.SI,玻璃玻纤,857121.SI,玻璃制造,000012.SZ,南玻A,19920228,,Y
801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品,000013.SZ,*ST石化A(退市),20030512,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000014.SZ,沙河股份,19911219,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000015.SZ,PT中浩A(退市),19920625,,Y
801110.SI,家用电器,801112.SI,黑色家电,851121.SI,彩电,000016.SZ,深康佳A,19920327,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,000017.SZ,深中华A,20220729,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程,000018.SZ,神城A退(退市),20180713,,Y
801010.SI,农林牧渔,801012.SI,农产品加工,850152.SI,粮油加工,000019.SZ,深粮控股,20210730,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000020.SZ,深华发A,19920428,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,000021.SZ,深科技,19940202,,Y
801710.SI,建筑材料,801711.SI,水泥,857112.SI,水泥制品,000023.SZ,*ST深天,20210730,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000024.SZ,招商地产(退市),20020508,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000025.SZ,特力A,20230704,,Y
801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝,000026.SZ,飞亚达,19930603,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000027.SZ,深圳能源,19930903,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,000028.SZ,国药一致,19930505,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000029.SZ,深深房A,19930915,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,000030.SZ,富奥股份,20130701,,Y
801180.SI,房地产,801181.SI,房地产开发,851812.SI,商业地产,000031.SZ,大悦城,20210730,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,000032.SZ,深桑达A,20220729,,Y
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,000034.SZ,神州数码,20210730,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,000035.SZ,中国天楹,19940408,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000036.SZ,华联控股,19940617,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000037.SZ,深南电A,20220729,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,000038.SZ,大通退(退市),20180619,,Y
801890.SI,机械设备,801072.SI,通用设备,850751.SI,金属制品,000039.SZ,中集集团,20210730,,Y
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,000040.SZ,ST旭蓝,20171116,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000042.SZ,中洲控股,19940921,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000045.SZ,深纺织A,20140102,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000046.SZ,*ST泛海(退市),20201201,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000047.SZ,ST中侨(退市),19941021,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,000048.SZ,京基智农,19941101,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,000049.SZ,德赛电池,20121231,,Y
801080.SI,电子,801084.SI,光学光电子,850831.SI,面板,000050.SZ,深天马A,19950315,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,000055.SZ,方大集团,20210730,,Y
801180.SI,房地产,801183.SI,房地产服务,851831.SI,物业管理,000056.SZ,皇庭国际,20210730,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,000058.SZ,深赛格,20111010,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000059.SZ,华锦股份,20091231,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,000060.SZ,中金岭南,19970123,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,000061.SZ,农产品,20131231,,Y
801080.SI,电子,801082.SI,其他电子Ⅱ,850841.SI,其他电子Ⅲ,000062.SZ,深圳华强,20111010,,Y
801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件,000063.SZ,中兴通讯,19971118,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程,000065.SZ,北方国际,19980605,,Y
801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备,000066.SZ,中国长城,19970626,,Y
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,000068.SZ,华控赛格,20170629,,Y
801180.SI,房地产,801181.SI,房地产开发,851812.SI,商业地产,000069.SZ,华侨城A,20210730,,Y
801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套,000070.SZ,ST特信,20111010,,Y
